Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,control_T1,control_T2,control_T3,patr1_T1,patr1_T2,patr1_T3
CG10165,80.26031929,-0.731195458,0.221002273,-3.3085427,9.38E-04,0.00437558,106.5039557,95.66826123,97.7610891,68.93862425,57.31560182,55.37438367
Mulk,216.5683312,0.48349464,0.14614354,3.308354519,9.38E-04,0.004376294,183.7193236,182.7177602,174.5733734,277.0552258,244.0255168,237.3187872
p47,234.1446529,0.476398927,0.144031761,3.307596346,9.41E-04,0.004385927,205.9076477,177.5465028,203.5026753,287.4610559,253.5781171,276.8719183
CG7900,105.2666711,0.723215059,0.218755414,3.306044168,9.46E-04,0.004408055,76.32783491,87.04949896,73.81959789,135.275791,96.39442124,162.7328826
CG12024,90.59940444,-0.688820692,0.208368661,-3.305778753,9.47E-04,0.004409992,102.0662909,112.0439096,121.7025803,67.63789549,71.21029317,68.93545722
Orct,100.257126,-0.701315526,0.212190006,-3.305129865,9.49E-04,0.004417971,144.6678732,111.1820333,115.7172075,92.35174192,72.07871138,65.54518883
DCP2,1267.19248,-0.382265738,0.115683167,-3.304419718,9.52E-04,0.004425839,1335.737111,1553.962838,1413.545543,941.7276219,1081.180671,1277.001093
betaTry,37.65448675,1.158338861,0.350565114,3.304204596,9.52E-04,0.004425839,14.20052743,24.99441059,30.92442614,40.32259154,44.28932868,71.19563615
phr6-4,63.82502208,0.792087507,0.239718202,3.304244313,9.52E-04,0.004425839,47.92678006,48.26506873,43.89273388,79.34445433,79.89447526,83.62662023
CSN7,206.51182,0.513366606,0.155489926,3.301606859,9.61E-04,0.004464765,173.956461,183.5796364,152.6270065,219.8231604,234.4729165,274.6117394
ClC-c,416.1243835,-0.416500562,0.126188083,-3.300633081,9.65E-04,0.00447802,458.8545424,443.0043808,524.7176823,395.4215429,344.7620291,329.9861231
fidipidine,191.0600181,0.533507073,0.16167859,3.299800377,9.68E-04,0.004489055,157.0933346,170.651493,139.6586987,219.8231604,201.4730246,257.6603975
CG10912,20.43119793,1.401732149,0.425009456,3.298119911,9.73E-04,0.004513724,11.53792853,12.06626718,9.975621337,27.31530395,27.7893827,33.90268388
Mettl14,100.5590462,0.649508727,0.196970112,3.297498892,9.76E-04,0.00452143,78.10290084,82.74011782,73.81959789,118.3663171,118.1048765,132.2204671
CG42554,43.38785089,-1.046760793,0.317497267,-3.296912765,9.78E-04,0.004528587,49.70184599,50.85069741,75.81472216,26.01457519,36.47356479,21.47169979
CG32037,8.850352411,2.417079579,0.733653226,3.294580457,9.86E-04,0.004561727,1.775065928,1.723752455,4.987810668,20.81166015,14.76310956,9.040715701
CG44249,17.56963812,-1.60808231,0.488094476,-3.294612801,9.86E-04,0.004561727,33.72625264,24.13253437,21.94636694,7.804372557,12.15785493,5.650447313
HP4,132.3840423,0.576729486,0.175065612,3.294361911,9.86E-04,0.004562972,97.62862605,107.7345284,113.7220832,156.0874511,159.7889505,159.3426142
CG42788,565.5131739,-0.383142451,0.116350895,-3.292991012,9.91E-04,0.004582966,615.9478771,677.4347147,627.4665821,442.2477782,478.4984334,551.4836578
Spn,757.8520185,-0.35880703,0.10897618,-3.292527137,9.93E-04,0.00458822,774.8162777,921.345687,858.9009971,625.6505333,652.1820752,714.2165404
DhpD,70.00980308,-0.800761248,0.243255492,-3.291852695,9.95E-04,0.00459692,104.7288898,82.74011782,78.80740856,50.72842162,44.28932868,58.76465206
CG15126,66.92868205,0.800110623,0.243149295,3.29061461,1.00E-03,0.004614872,55.02704378,37.922554,53.86835522,84.54736937,87.71023915,82.49653077
PpV,314.029375,0.433016564,0.131682211,3.288345189,0.001007782,0.004649897,244.0715651,268.0435067,290.2905809,339.4902062,356.919884,385.3605068
Vps50,158.2471816,-0.541437607,0.164732027,-3.286778035,0.001013407,0.004673498,176.6190599,197.3696561,189.5368054,123.5692322,138.0784953,124.3098409
Socs36E,1631.738528,0.40288181,0.122596731,3.286236144,0.001015358,0.004680144,1441.353534,1230.759253,1542.231059,2217.742535,1647.389343,1710.955446
CG32625,10.42882118,2.076208215,0.631945523,3.285422778,0.001018295,0.004691319,3.550131856,2.585628682,5.985372802,15.60874511,15.63152777,19.21152086
pea,341.6656235,0.398795852,0.121400639,3.284956778,0.00101998,0.004696724,297.323543,297.3472984,289.2930188,388.9178991,383.8408485,393.271133
CG6907,199.0928721,0.496013125,0.151064783,3.283446447,0.001025461,0.004719593,164.1935984,170.651493,160.6075035,218.5224316,224.051898,256.530308
TrpRS-m,293.8087551,0.430750246,0.131263075,3.281579723,0.001032273,0.004748561,249.3967629,245.6347248,256.3734684,310.8741735,337.8146834,362.7587175
CG14291,17.11372638,1.551808291,0.47342568,3.27782872,0.001046088,0.004808837,9.762862605,10.34251473,5.985372802,20.81166015,28.65780091,27.1221471
Ptr,24.36012847,1.347710514,0.411170939,3.277737761,0.001046426,0.004808837,10.65039557,15.51377209,14.96343201,46.82623534,35.60514658,22.60178925
CG33769,2.677311935,4.993170161,1.523851729,3.276677165,0.001050364,0.004824517,0,0,0,5.202915038,5.210509256,5.650447313
CG9447,8.491776114,-2.636779005,0.804925738,-3.275804065,0.001053616,0.004837033,10.65039557,19.82315323,13.96586987,1.30072876,5.210509256,0
CG31687,42.14468428,-0.980198173,0.299265387,-3.275347619,0.00105532,0.004842431,62.12730749,53.43632609,51.87323095,32.51821899,26.92096449,25.99205764
Atg101,361.8193442,0.393002333,0.12006371,3.273281614,0.001063065,0.004875528,314.1866693,320.6179566,303.2588886,424.0375756,409.8933948,398.9215803
GstE13,72.40096152,-0.752459471,0.2299209,-3.272688438,0.001065298,0.004883328,89.64082938,89.63512764,92.77327843,61.1342517,50.36825614,50.85402582
NAT1,1883.639834,-0.310128178,0.094778586,-3.272133401,0.001067392,0.00489048,2003.1619,2058.160431,2193.639132,1650.624796,1555.337013,1840.915735
e(y)1,131.8137895,0.595507827,0.182003453,3.271958953,0.001068051,0.004891054,99.40369198,118.9389194,96.76352697,140.478706,162.3942052,172.9036878
vnd,800.9593217,-0.337456068,0.103197184,-3.270012364,0.001075428,0.004922378,876.8825685,973.9201369,830.9692574,719.303004,705.155586,699.5253774
CG3568,20.29951459,1.464293566,0.447965993,3.268760549,0.001080197,0.004941738,7.987796677,14.65189586,9.975621337,22.11238891,39.94723763,27.1221471
CG1523,195.5451844,0.501752073,0.153515559,3.268411845,0.001081529,0.004945364,149.9930709,156.8614734,178.5636219,238.033363,213.6308795,236.1886977
unc79,20.49488394,-1.564129321,0.478773878,-3.26694791,0.001087137,0.00496853,23.07585707,22.40878191,45.88785815,15.60874511,6.947345675,9.040715701
Tango4,250.9271484,0.459985213,0.140845451,3.265886176,0.001091221,0.004984711,229.8710377,191.3365225,212.4807345,284.8595983,279.6306634,307.3843338
CG7824,62.72663655,-0.803416039,0.246054771,-3.265191878,0.001093899,0.004994457,74.55276899,78.43073669,86.78790563,41.6233203,48.63141972,46.33366797
CG14949,19.85083002,-1.494588322,0.457764575,-3.26497157,0.001094751,0.004995856,36.38885153,31.02754418,20.94880481,7.804372557,13.89469135,9.040715701
Met,140.3278007,-0.576446826,0.176571638,-3.264662608,0.001095945,0.004998819,157.0933346,179.2702553,168.5880006,96.2539282,119.8417129,120.9195725
CG8915,159.3900971,0.524569239,0.160699212,3.264292536,0.001097378,0.005002865,126.0296809,133.5908152,132.6757638,186.0042126,189.3151696,188.7249403
rho-7,85.62633127,0.70024008,0.214570913,3.263443631,0.001100671,0.005015383,62.12730749,74.12135555,58.85616589,113.1634021,98.13125766,107.3584989
spict,100.9091816,-0.721188049,0.221157299,-3.260973314,0.001110305,0.005056769,120.7044831,96.53013746,159.6099414,81.94591185,72.07871138,74.58590453
CG10365,21.56225991,-1.465540558,0.449567498,-3.25988993,0.001114555,0.005073603,41.71404931,32.75129664,20.94880481,6.503643798,13.89469135,13.56107355
CG17684,5.182271829,4.023907931,1.235153612,3.257819832,0.001122717,0.005108221,0.887532964,0.861876227,0,10.40583008,12.15785493,6.780536776
Octalpha2R,21.37955138,1.399698565,0.429936863,3.255590965,0.001131566,0.005143382,7.987796677,17.23752455,9.975621337,31.21749023,34.73672837,27.1221471
RhoGEF4,177.8094894,-0.515229293,0.158259188,-3.255604295,0.001131513,0.005143382,213.0079114,212.8834282,200.5099889,162.5910949,135.4732407,142.3912723
xmas,359.436093,0.404543478,0.124280016,3.255096778,0.001133537,0.005149787,320.3994,300.7948033,308.2466993,385.0157128,445.4985414,396.6614014
kdn,906.3517914,-0.331287521,0.101809487,-3.253994615,0.001137944,0.005167248,1050.83903,1030.803968,945.6889027,840.2707786,739.8923144,830.615755
CG45071,79.9987973,0.713322838,0.219281374,3.253002413,0.001141925,0.005182758,66.56497231,55.16007855,59.85372802,107.960487,95.52600303,94.92751486
CG12699,2.662139942,4.985648114,1.533288057,3.251605654,0.001147551,0.005205094,0,0,0,6.503643798,6.078927466,3.390268388
CG17904,121.976734,0.592189303,0.182128095,3.251498909,0.001147982,0.005205094,98.51615902,100.8395186,92.77327843,132.6743335,151.1047684,155.9523458
CG1890,134.6178306,-0.599390505,0.18448534,-3.248987177,0.001158167,0.005247726,134.9050105,166.3421119,185.5465569,109.2612158,107.683858,103.9682306
CG10337,32.40673728,-1.172011556,0.360741242,-3.248898159,0.001158529,0.005247726,40.82651635,47.4031925,45.88785815,29.91676147,19.10520061,11.30089463
Rnmt,97.68481948,0.644938037,0.198566116,3.247976293,0.00116229,0.005262158,71.89017009,74.12135555,82.7976571,119.6670459,118.9732947,118.6593936
Naa20A,277.3235649,0.432210076,0.13308115,3.247718234,0.001163344,0.005264333,228.9835047,251.6678584,227.4441665,306.9719872,314.3673918,334.5064809
ksr,190.0660299,-0.528301111,0.162755051,-3.245989035,0.001170433,0.005288954,228.9835047,230.1209527,215.4734209,124.8699609,162.3942052,178.5541351
CG7432,5.526778741,3.465228745,1.067552684,3.245955725,0.00117057,0.005288954,0,0.861876227,1.995124267,9.105101317,12.15785493,9.040715701
Cpsf100,179.7904356,0.530623501,0.163477529,3.245849769,0.001171006,0.005288954,161.5309995,136.1764439,143.6489473,191.2071276,203.209861,242.9692345
CG18809,184.6835703,-0.510293249,0.157215087,-3.24582874,0.001171093,0.005288954,228.9835047,227.535324,194.5246161,153.4859936,158.9205323,144.6514512
CPT2,263.6555316,0.432883299,0.133383133,3.245412597,0.001172806,0.005294083,224.5458399,219.778438,228.4417286,314.7763598,292.6569366,301.7338865
Cap-G,414.4660561,-0.402883955,0.124160147,-3.244873378,0.001175029,0.005301507,449.9792128,524.8826224,441.9200252,338.1894775,380.3671757,351.4578229
ftz,2.662772793,5.008785753,1.544859943,3.242226439,0.001185997,0.005347081,0,0,0,3.902186279,8.684182094,3.390268388
CG6793,15.42995606,1.756736606,0.541842312,3.242154712,0.001186296,0.005347081,6.212730749,3.447504909,11.9707456,15.60874511,33.86831017,21.47169979
blw,1611.962507,-0.330213651,0.101864101,-3.2417078,0.001188158,0.005352841,1797.254252,1706.51493,1880.404622,1507.544632,1248.785385,1531.271222
CanB2,427.4060924,-0.379374521,0.117053775,-3.241027631,0.001190996,0.005362994,453.5293447,493.8550783,501.7737532,391.5193566,362.1303933,361.628628
nmdyn-D7,59.18728201,-0.827729048,0.25544102,-3.240392042,0.001193655,0.005372325,66.56497231,81.01636537,79.8049707,37.72113403,42.55249226,47.46375743
CG4049,446.3082769,-0.377517202,0.116569665,-3.238554401,0.001201371,0.005404401,467.7298721,517.9876126,526.7128066,395.4215429,369.9461572,400.0516698
MCU,6.212567849,3.181357265,0.982969387,3.236476444,0.001210152,0.005441233,0,0.861876227,2.992686401,13.0072876,14.76310956,5.650447313
CG34117,44.23190992,0.944861115,0.291969759,3.236160886,0.001211491,0.005444582,28.40105485,35.33692532,26.93417761,50.72842162,57.31560182,66.67527829
rec,63.82353081,0.78674002,0.243200427,3.23494506,0.001216661,0.005462464,48.81431303,43.09381137,48.88054455,83.24664061,87.71023915,71.19563615
CG4669,49.55003085,-0.916156781,0.283203981,-3.234971414,0.001216549,0.005462464,55.91457674,61.19321214,77.80984643,28.61603271,36.47356479,37.29295227
CG4042,94.21426884,0.674169654,0.208462187,3.234014103,0.001220634,0.005477619,76.32783491,72.3976031,69.82934936,98.85538572,133.7364042,114.1390357
Uba3,130.9626274,0.616862289,0.190792378,3.233160017,0.00122429,0.005491334,102.9538238,106.010776,100.7537755,143.0801635,136.3416589,196.6355665
CG4686,75.67060721,0.740438038,0.229082458,3.232190032,0.001228453,0.005504624,63.01484045,53.43632609,53.86835522,79.34445433,98.13125766,106.2284095
CG33771,2.605260176,4.963924272,1.535751899,3.232243616,0.001228223,0.005504624,0,0,0,3.902186279,6.078927466,5.650447313
CG32668,25.79347018,-1.378065322,0.426385676,-3.231969085,0.001229404,0.00550619,47.92678006,35.33692532,28.92930188,5.202915038,14.76310956,22.60178925
AP-1gamma,1235.348642,0.321624715,0.099667154,3.226988062,0.001251007,0.00560021,1142.254925,1042.008359,1108.291531,1454.214753,1235.759112,1429.56317
CG7506,119.0682106,0.620293309,0.192353261,3.224761076,0.001260778,0.005641199,91.4158953,95.66826123,94.7684027,120.9677746,139.8153317,171.7735983
Pkg21D,17.57964024,-1.532395039,0.475293477,-3.22410282,0.00126368,0.005651424,23.07585707,31.02754418,23.94149121,11.70655884,7.815763884,7.910626238
TM9SF4,398.0141714,0.38371621,0.119054185,3.223038396,0.001268386,0.005669702,341.7001912,354.2311294,339.1711255,486.4725561,435.9459411,430.5640853
CG17029,49.03245455,-0.901372594,0.279757444,-3.221978944,0.001273085,0.005687935,64.78990638,66.3644695,60.85129015,35.11967651,39.94723763,27.1221471
CG5810,57.28680234,-0.835401653,0.25936848,-3.22090661,0.001277858,0.005706479,67.45250527,79.29261291,72.82203576,48.1269641,36.47356479,39.55313119
Ucp4A,91.00281462,-0.671159416,0.208423639,-3.220169365,0.001281149,0.00571839,110.0540876,106.010776,118.7098939,78.04372557,64.26294749,68.93545722
VhaAC39-1,583.5166379,-0.335406743,0.104220223,-3.218250089,0.001289753,0.005753993,646.1239979,652.4403041,655.3983218,502.0813012,529.7351077,515.320795
Nepl3,117.624327,-0.61597713,0.191479123,-3.216941461,0.00129565,0.005777491,152.6556698,126.6958054,148.6367579,91.05101317,104.2101851,82.49653077
ASPP,94.31294869,0.681893759,0.212196331,3.213503994,0.00131126,0.005844253,66.56497231,87.91137519,62.84641442,104.0583008,122.4469675,122.049662
Orc1,136.511851,0.586335086,0.182621599,3.210655755,0.001324325,0.005899616,115.3792853,113.767662,98.75865124,135.275791,172.8152237,183.0744929
Nxt1,89.9859644,0.673007909,0.209729216,3.208937321,0.001332265,0.005932107,72.77770306,59.46945969,75.81472216,115.7648596,104.2101851,111.8788568
Cad86C,22.09626804,1.304545246,0.406556345,3.208768629,0.001333047,0.005932707,14.20052743,12.92814341,10.97318347,29.91676147,29.52621912,35.03277334
eIF3b,1449.85507,-0.348994109,0.108800749,-3.207644352,0.001338269,0.005953056,1667.67444,1501.388388,1701.841,1302.029488,1101.154289,1425.042812
cno,1039.800773,0.369762772,0.115287446,3.207311683,0.001339817,0.005957055,813.8677281,985.1245278,923.7425358,1024.974262,1168.89091,1322.204671
CG5059,563.6673703,-0.364061421,0.113649159,-3.20337982,0.001358247,0.006036069,606.1850145,626.5840173,669.3641917,492.9761999,448.9722142,537.9225842
CG13972,2.66150709,4.961661376,1.548966793,3.203207065,0.001359062,0.006036765,0,0,0,9.105101317,3.473672837,3.390268388
sba,2830.271092,-0.315522729,0.098517544,-3.202705994,0.001361429,0.00604176,3144.529292,3091.550027,3179.23052,2329.605208,2348.202838,2888.508666
CG10333,297.6305545,0.420988937,0.131448546,3.202689939,0.001361505,0.00604176,243.1840322,253.3916108,267.3466518,319.9792748,333.4725924,368.4091648
flfl,1619.66075,0.279327528,0.087257762,3.201176861,0.001368675,0.00607064,1460.879259,1465.189586,1462.426088,1818.418806,1676.915562,1834.135198
CG10470,101.8092184,0.62799281,0.196227001,3.200338428,0.001372663,0.006085384,78.10290084,74.12135555,87.78546776,126.1706897,118.1048765,126.5700198
GstD6,3.97175765,4.532194298,1.416545862,3.199468807,0.001376811,0.006100823,0,0,0.997562134,9.105101317,6.947345675,6.780536776
ova,298.6536926,0.420062405,0.131299305,3.199273634,0.001377743,0.006102005,270.6975541,242.1872199,253.380782,361.6025951,346.4988655,317.555139
CG14431,23.80270286,-1.269855862,0.396994351,-3.198674892,0.001380608,0.006111739,36.38885153,34.47504909,29.92686401,14.30801635,13.02627314,14.69116301
IntS12,51.42031556,0.89344308,0.279356133,3.198222537,0.001382775,0.006118315,31.95118671,37.06067778,38.90492321,58.53279418,57.31560182,84.7567097
shd,7.780424489,2.417313736,0.755862535,3.198086456,0.001383428,0.006118315,1.775065928,2.585628682,2.992686401,15.60874511,11.28943672,12.43098409
CG3588,6.165166072,3.183126473,0.996272463,3.195036088,0.001398134,0.006180371,1.775065928,0.861876227,0.997562134,7.804372557,5.210509256,20.34161033
CG32147,38.31630671,-1.045196202,0.327186884,-3.19449297,0.001400767,0.006189027,46.15171413,58.60758346,49.87810668,32.51821899,26.92096449,15.82125248
CG9123,27.56118673,-1.214878202,0.380364455,-3.193984576,0.001403236,0.00619695,31.95118671,33.61317287,49.87810668,18.21020263,14.76310956,16.95134194
Ide,621.1674838,0.338110575,0.105880132,3.19333353,0.001406404,0.00620795,508.5563884,561.9433002,575.5933511,708.8971739,686.0503854,685.9643038
Mer,254.294929,-0.44478038,0.139395473,-3.190780655,0.00141889,0.006260048,305.3113397,296.4854222,277.3222732,205.515144,204.9466974,236.1886977
GstE2,13.76995291,1.806624239,0.566470535,3.189264274,0.001426354,0.006289954,7.987796677,2.585628682,7.98049707,24.71384643,26.92096449,12.43098409
CG31635,1144.385563,-0.325348506,0.102031276,-3.188713488,0.001429074,0.00629892,1197.281969,1346.250667,1274.884407,953.4341807,970.0231399,1124.439015
CG9314,17.1607559,-1.548224589,0.485613276,-3.188184233,0.001431693,0.006307429,29.28858782,24.99441059,21.94636694,13.0072876,6.947345675,6.780536776
C1GalTA,134.8217599,0.567585655,0.178072504,3.187385158,0.001435655,0.006321845,103.8413568,102.5632711,119.707456,174.2976538,164.9994598,143.5213618
ELOVL,27.25684383,-1.246365,0.391052887,-3.187203168,0.001436558,0.006322787,41.71404931,39.64630646,33.91711255,19.51093139,20.84203702,7.910626238
CG12325,320.9199126,0.397457352,0.124721374,3.186762123,0.001438751,0.006329398,278.6853507,279.2478977,272.3344625,374.6098827,349.9725384,370.6693437
ATP8A,3213.343354,-0.282392432,0.088649192,-3.185504855,0.001445017,0.006353916,3558.119653,3446.643033,3573.267563,2959.157928,2637.386102,3105.485843
CG12547,414.7215127,-0.462342217,0.145159186,-3.185070335,0.001447188,0.006360413,496.1309269,469.7225439,475.8371378,405.827373,378.6303393,262.1807553
CG12914,11.57240841,-2.059441667,0.646675287,-3.184661158,0.001449236,0.006366361,12.4254615,18.09940077,24.93905334,9.105101317,2.605254628,2.260178925
CG7484,128.5952366,0.565906406,0.177790603,3.182993908,0.001457607,0.006400067,99.40369198,103.4251473,108.7342726,153.4859936,164.1310416,142.3912723
Naa40,35.89446343,1.07234743,0.336929221,3.182708308,0.001459045,0.006403316,23.96339003,26.71816305,18.95368054,32.51821899,55.5787654,57.63456259
CG12206,121.7221911,-0.589612162,0.185297831,-3.181970115,0.001462769,0.006416587,144.6678732,141.3477013,153.6245686,96.2539282,108.5522762,85.88679916
Prx2540-2,10.72348579,-2.423880909,0.761822578,-3.181686892,0.0014642,0.006419793,6.212730749,13.79001964,33.91711255,3.902186279,0.868418209,5.650447313
RhoU,22.32539724,-1.333036849,0.419053198,-3.181068313,0.00146733,0.006430442,25.73845596,33.61317287,36.90979895,9.105101317,13.89469135,14.69116301
mbf1,612.9554873,0.339917581,0.106874498,3.180530333,0.001470057,0.006439315,566.2460311,508.5069741,547.6616114,703.6942589,648.7084024,702.9156458
Picot,295.9224707,-0.438609923,0.138010764,-3.178084887,0.001482513,0.006490775,324.8370649,325.7892139,373.088238,219.8231604,270.9464813,261.0506659
Rpn5,647.947716,0.32612536,0.102628647,3.177722495,0.001484367,0.006495791,570.6836959,563.6670527,590.5567831,712.7993602,697.3398221,752.6395821
Rpe,83.44433244,-0.728779833,0.229361037,-3.1774352,0.001485839,0.00649888,109.1665546,106.8726522,97.7610891,50.72842162,80.76289347,55.37438367
ThrRS,867.9041186,0.336608338,0.105941366,3.177307903,0.001486491,0.00649888,825.4056566,717.9428974,756.1520973,1057.492481,902.2865195,948.1450591
CAH3,271.0040977,0.480727879,0.151315694,3.176986249,0.001488141,0.006502991,234.3087025,230.1209527,213.4782966,372.0084252,319.577901,256.530308
CG18171,78.03829034,0.704373204,0.221728053,3.176743731,0.001489386,0.006505331,61.23977452,63.77884082,52.87079309,101.4568432,100.7365123,88.14697808
Scox,128.8101882,0.561485191,0.176773451,3.176298176,0.001491675,0.006512229,99.40369198,103.4251473,109.7318347,144.3808923,155.4468595,160.4727037
Nop60B,857.3701755,-0.363202842,0.114363642,-3.175859358,0.001493934,0.006518983,1033.975903,914.4506772,942.6962163,806.4518309,640.8926385,805.7537868
CG8800,2.76530952,-4.789069276,1.508348175,-3.175042313,0.001498147,0.006534257,4.437664821,5.171257364,6.982934936,0,0,0
CG5626,80.49017261,0.694430106,0.218772154,3.174216163,0.001502418,0.006548818,57.68964267,67.22634573,59.85372802,94.95319944,109.4206944,93.7974254
Psc,437.1523297,-0.390525409,0.123034218,-3.174120307,0.001502914,0.006548818,492.5807951,525.7444987,470.8493271,330.3851049,394.261867,409.0923855
ptc,13.71904568,1.74123825,0.548819433,3.17269788,0.001510296,0.006577859,4.437664821,7.756886046,6.982934936,13.0072876,28.65780091,21.47169979
RpL24-like,301.0153455,-0.426543892,0.134621943,-3.168457393,0.001532502,0.006671405,339.0375923,311.9991943,385.0589836,257.5442944,257.05179,255.4002186
Pcyt1,407.2529844,-0.379836294,0.119957603,-3.166421159,0.001543272,0.0067151,481.0428666,433.5237423,465.8615164,379.8127978,335.2094288,348.0675545
CG9902,41.78715391,-1.021669401,0.322783752,-3.165182246,0.001549858,0.006740561,56.8021097,73.25947932,37.90736108,24.71384643,28.65780091,29.38232603
P5CDh1,84.60793748,-0.708939539,0.224140531,-3.162924331,0.001561929,0.006789838,107.3914887,118.0770431,89.78059203,66.33716673,72.94712959,53.11420474
eIF3d1,810.9977319,-0.329575594,0.104235435,-3.161838325,0.001567766,0.00681198,931.0220794,877.3899994,899.8010446,714.100089,658.2610027,785.4121765
Spn88Ea,47.82680762,0.888465558,0.281013705,3.161644941,0.001568807,0.006813276,37.27638449,32.75129664,30.92442614,50.72842162,68.60503854,66.67527829
CG32066,324.3802281,0.393390964,0.124442379,3.161229853,0.001571045,0.006819762,272.47262,280.1097739,288.2954566,379.8127978,356.0514658,369.5392543
Cht5,2.518036425,4.925444502,1.558218514,3.16094595,0.001572577,0.006819954,0,0,0,3.902186279,7.815763884,3.390268388
elfless,2.518036425,4.925444502,1.558218514,3.16094595,0.001572577,0.006819954,0,0,0,3.902186279,7.815763884,3.390268388
CG32081,2.488963691,4.888894666,1.547344338,3.159538925,0.00158019,0.006849731,0,0,0,5.202915038,5.210509256,4.52035785
CG32834,2.646967949,4.977886892,1.57572204,3.159114848,0.001582491,0.006856465,0,0,0,7.804372557,6.947345675,1.130089463
Ltn1,910.526662,0.306758149,0.097119621,3.158559984,0.001585507,0.006866285,778.3664095,822.2299209,840.9448787,1062.695397,984.7862494,974.1371168
Prosbeta4,278.5189333,0.453681419,0.143649541,3.158251783,0.001587184,0.006870304,247.621697,212.8834282,243.4051606,366.8055102,283.9727545,316.4250495
hfp,632.3179854,-0.396780212,0.125690731,-3.156797722,0.00159512,0.006901395,739.3149591,782.5836144,635.4470792,461.7587096,567.9455089,606.8580414
CG14657,485.2019809,0.35135723,0.111326221,3.156104886,0.001598914,0.006914547,403.8274987,446.4518858,428.9517175,533.2987914,539.287708,559.394284
CtBP,2437.57303,0.293797044,0.093133654,3.154574442,0.001607324,0.00694764,2223.270075,2184.856236,2159.722019,2825.182866,2392.492167,2839.91482
beta4GalT7,59.46528765,0.789160123,0.250224881,3.153803572,0.001611575,0.006959454,43.48911524,46.54131628,40.90004748,66.33716673,78.15763884,81.36644131
dar1,70.75161922,0.979591787,0.310605748,3.153810875,0.001611535,0.006959454,23.07585707,39.64630646,80.80253283,92.35174192,90.31549377,98.31778325
Fbw5,77.97357601,0.70932284,0.224954881,3.15317826,0.001615032,0.006971096,55.02704378,54.29820232,68.83178722,85.84809813,99.86809408,103.9682306
CG8728,389.6481137,-0.377023922,0.119585518,-3.15275568,0.001617371,0.00697791,441.9914161,443.8662571,433.9395282,339.4902062,316.9726464,361.628628
CG6175,168.8081744,-0.535602152,0.169922628,-3.152035481,0.001621366,0.006991854,190.8195873,206.8502946,202.5051131,111.8626733,138.0784953,162.7328826
Rpt1,494.1360664,0.361254894,0.114617637,3.151826401,0.001622527,0.006993572,441.9914161,415.4243416,438.9273388,589.2301281,506.2878161,572.9553575
ValRS-m,146.1065071,0.554880151,0.176081852,3.151262577,0.001625663,0.007003795,110.9416205,110.3201571,133.6733259,196.4100427,169.3415508,155.9523458
CG32276,217.7511394,-0.459849613,0.145989418,-3.149883184,0.001633358,0.007033641,252.0593618,248.2203535,256.3734684,193.8085852,191.0520061,164.9930615
CG5645,269.1201798,0.463643874,0.147307959,3.147446193,0.001647034,0.007085879,223.658307,252.5297346,202.5051131,273.1530395,309.1568825,353.7180018
ubl,43.21456245,0.932035592,0.296119706,3.14749601,0.001646754,0.007085879,24.850923,37.06067778,26.93417761,59.83352294,52.97351077,57.63456259
e(y)3,1331.434716,-0.317102455,0.100857454,-3.144065643,0.001666181,0.007164889,1499.930709,1507.421522,1423.521165,1106.920174,1115.048981,1335.765745
yellow-d,18.3598474,-1.780743604,0.56644707,-3.143706973,0.001668224,0.007170313,31.06365374,46.54131628,7.98049707,6.503643798,11.28943672,6.780536776
Mvl,182.0332146,-0.512145041,0.162921287,-3.143512128,0.001669335,0.007171726,222.770774,201.6790372,216.470983,176.8991113,143.2890045,131.0903777
Klp61F,239.9560236,-0.472077773,0.150265701,-3.141620275,0.001680158,0.007214842,284.0105485,293.8997935,260.3637169,187.3049414,234.4729165,179.6842246
ATPsynepsilonL,2.460523808,4.877337565,1.553070568,3.140448133,0.001686896,0.007240384,0,0,0,3.902186279,5.210509256,5.650447313
CG30060,33.08858797,-1.247645135,0.397349893,-3.139915617,0.001689965,0.007250164,57.68964267,61.19321214,20.94880481,16.90947387,22.57887344,19.21152086
CG2310,55.10994731,-0.856285339,0.27279587,-3.138923401,0.001695698,0.007271355,68.34003824,61.19321214,82.7976571,49.42769286,33.86831017,35.03277334
CG4038,343.053509,-0.425472825,0.135565956,-3.138493154,0.001698189,0.007278633,364.7760483,382.6730449,430.9468418,336.8887487,271.8148995,271.221471
CG1463,172.3189526,-0.502464793,0.160118021,-3.138090211,0.001700525,0.007285241,186.3819225,219.778438,199.5124267,144.3808923,138.0784953,145.7815407
CalpC,84.50493711,-0.689870069,0.21986586,-3.13768617,0.001702871,0.007291883,97.62862605,118.0770431,97.7610891,54.6306079,67.73662033,71.19563615
CG30109,51.55323836,-0.855884189,0.272889395,-3.136377615,0.001710488,0.007321081,63.01484045,69.81197441,66.83666296,37.72113403,42.55249226,29.38232603
ect,22.01691428,-1.334011594,0.425500794,-3.135156532,0.001717624,0.007348194,23.07585707,33.61317287,37.90736108,14.30801635,13.02627314,10.17080516
CG17556,105.3764757,0.633079416,0.202040876,3.133422443,0.001727806,0.007384859,87.86576345,73.25947932,86.78790563,144.3808923,133.7364042,106.2284095
