Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,control_T1,control_T2,control_T3,patr1_T1,patr1_T2,patr1_T3
CG4301,832.8422888,-0.833685104,0.097732915,-8.530238799,1.46E-17,4.98E-16,1085.452815,1062.693388,1051.430489,628.2519908,582.7086185,586.5164311
CG15211,73.79409198,2.416597771,0.283406149,8.526977188,1.50E-17,5.10E-16,17.75065928,19.82315323,32.91955041,136.5765197,144.1574228,91.53724647
Dg,2027.287548,0.761954144,0.089464684,8.516814765,1.64E-17,5.55E-16,1530.10683,1487.598368,1492.352952,2744.537683,2377.729057,2531.400396
CG43149,127.1270234,1.888525739,0.221834583,8.513216064,1.69E-17,5.70E-16,71.89017009,57.74570723,31.92198828,192.5078564,218.8413888,189.8550297
pigs,2097.517877,0.744439323,0.087470234,8.510773213,1.73E-17,5.80E-16,1564.720616,1608.26104,1529.262751,2695.10999,2450.676187,2737.076678
Dscam1,3826.627744,-1.01450898,0.119244777,-8.507785494,1.77E-17,5.93E-16,4625.821809,5269.511254,5462.650244,2199.532332,2323.887128,3078.363696
GstE6,83.90603221,2.02076689,0.237760175,8.499181534,1.91E-17,6.37E-16,35.50131856,29.30379173,34.91467468,145.6816211,145.025841,113.0089463
CG32486,609.8813325,-0.944693595,0.111243831,-8.492098715,2.03E-17,6.74E-16,812.9801951,805.8542726,789.0716477,388.9178991,396.8671217,465.5968586
NKCC,40.30047284,3.976402481,0.468478188,8.487913801,2.10E-17,6.96E-16,2.662598892,7.756886046,3.990248535,68.93862425,104.2101851,54.24429421
Men-b,1087.389789,0.87147465,0.102710882,8.484735366,2.16E-17,7.13E-16,792.566937,768.7935948,743.1837896,1554.370868,1392.942808,1272.480735
Vha100-2,461.1191042,-1.01317343,0.1194329,-8.483202133,2.19E-17,7.20E-16,654.1117946,589.5233395,604.522653,319.9792748,278.7622452,319.8153179
osp,1365.489704,-0.993698803,0.117189802,-8.479396521,2.26E-17,7.41E-16,1681.874967,1791.840677,1980.160835,823.3613048,831.9446446,1083.755795
CG30049,112.4999561,-1.876756047,0.221434395,-8.475449549,2.34E-17,7.64E-16,204.1325817,146.5189586,178.5636219,53.32987914,38.21040121,54.24429421
Spn77Bb,91.4356518,10.08543405,1.192799908,8.455260587,2.78E-17,9.05E-16,0,0,0,178.1998401,165.867878,204.5461927
RasGAP1,1076.500063,0.781767066,0.0925201,8.449699729,2.92E-17,9.46E-16,801.4422666,815.3349111,758.1472216,1331.94625,1356.469243,1395.660486
Dgp-1,340.6202704,1.130130825,0.133931368,8.438133996,3.22E-17,1.04E-15,220.9957081,186.1652651,234.4271014,489.0740136,480.2352698,432.8242642
eIF4G2,1539.509933,0.905877765,0.107544149,8.423310561,3.66E-17,1.18E-15,945.2226068,1202.317337,1066.393921,1912.071276,1920.941079,2190.113379
Slip1,316.5050303,-1.106635147,0.131752991,-8.399317079,4.49E-17,1.44E-15,411.8152953,448.1756382,436.9322146,188.6056701,195.3940971,218.1072663
Samuel,513.4520208,-1.042974561,0.124579739,-8.371943701,5.67E-17,1.81E-15,629.2608716,709.3241351,736.2008547,299.1676147,324.7884103,381.9702384
Ulp1,1298.184505,0.769468529,0.092196762,8.345938735,7.07E-17,2.25E-15,892.8581619,1000.6383,986.5889502,1616.805848,1623.073633,1669.142136
rau,238.8253477,-1.389740501,0.167129848,-8.315333959,9.15E-17,2.89E-15,339.0375923,356.8167581,341.1662497,106.6597583,116.3680401,172.9036878
rdo,65.06485105,7.146128845,0.859384233,8.315406043,9.14E-17,2.89E-15,0,1.723752455,0.997562134,137.8772485,131.1311496,118.6593936
Fas1,138.1583828,4.727689802,0.569249454,8.305128391,9.97E-17,3.14E-15,4.437664821,13.79001964,11.9707456,295.2654284,354.3146294,149.1718091
CG42258,648.0342007,0.952258907,0.115328041,8.25695904,1.49E-16,4.69E-15,457.9670095,418.0099703,447.905398,857.1802525,758.997515,948.1450591
CG18635,91.3612113,-1.99358236,0.241896565,-8.241466182,1.70E-16,5.32E-15,164.1935984,120.6626718,153.6245686,28.61603271,34.73672837,46.33366797
TAF1C-like,276.3596625,1.184386728,0.143719018,8.24098819,1.71E-16,5.33E-15,140.2302083,180.1321315,186.544119,391.5193566,377.7619211,381.9702384
Flo1,212.9377305,-1.28548013,0.156032456,-8.238543207,1.74E-16,5.42E-15,314.1866693,296.4854222,295.2783916,136.5765197,131.1311496,103.9682306
SP1173,161.6777721,1.620127917,0.196974972,8.225044529,1.95E-16,6.04E-15,79.87796677,79.29261291,78.80740856,292.6639709,263.1307174,176.2939562
hth,39.21268127,3.744336323,0.455313294,8.223648142,1.97E-16,6.09E-15,7.100263713,6.895009819,1.995124267,63.73570922,53.84192898,101.7080516
CG1146,380.4181547,-1.343344109,0.163367994,-8.222810821,1.99E-16,6.12E-15,480.1553336,457.6562767,698.2934936,240.6348205,191.0520061,214.7169979
CG15822,39.16886436,3.288086388,0.400032017,8.219558064,2.04E-16,6.26E-15,7.100263713,8.618762273,5.985372802,80.64518309,77.28922063,55.37438367
mlt,414.1461682,-1.036894124,0.126241807,-8.213555794,2.15E-16,6.56E-15,547.6078389,550.7389093,572.6006647,243.236278,258.7886264,311.9046917
spn-E,185.1736575,1.563317344,0.190349858,8.212863188,2.16E-16,6.58E-15,102.0662909,100.8395186,77.80984643,300.4683434,323.0515739,206.8063717
Mcr,266.9795813,-1.231623019,0.150599944,-8.178110757,2.88E-16,8.75E-15,361.2259164,352.507377,409.0004748,186.0042126,159.7889505,133.3505566
CaMKI,554.5408405,-1.080839095,0.132247759,-8.172834836,3.01E-16,9.11E-15,726.8894976,755.8654514,775.1057779,425.3383044,360.3935569,283.6524551
fru,1042.365917,-1.129774032,0.138458807,-8.159640099,3.36E-16,1.01E-14,1159.118051,1542.758447,1590.114041,597.0345006,577.4981092,787.6723554
onecut,41.21644934,3.182332231,0.39136659,8.131333404,4.25E-16,1.28E-14,10.65039557,6.895009819,6.982934936,81.94591185,87.71023915,53.11420474
Pfrx,683.0570012,-0.995557627,0.122579847,-8.121707205,4.60E-16,1.38E-14,881.3202334,917.0363059,931.7230329,390.2186279,433.3406865,544.703121
Smg5,630.6563066,-0.901615772,0.111025898,-8.120769916,4.63E-16,1.38E-14,778.3664095,815.3349111,869.8741806,437.0448632,406.419722,476.8977532
CG31431,65.82246759,-2.210597831,0.272713153,-8.105945029,5.23E-16,1.56E-14,101.1787579,104.2870235,118.7098939,27.31530395,20.84203702,22.60178925
CG12171,179.7123501,1.336148925,0.165002534,8.097747922,5.60E-16,1.66E-14,111.8291535,92.22075632,101.7513376,247.1384643,240.551844,284.7825446
Asph,48.01685896,2.587295538,0.319499302,8.09796929,5.59E-16,1.66E-14,15.08806039,12.92814341,12.96830774,84.54736937,75.55238421,87.01688862
flw,599.0082644,0.882385027,0.109057985,8.090971323,5.92E-16,1.74E-14,433.1160865,415.4243416,414.9858476,829.8649486,784.1816431,716.4767193
