Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,control_T1,control_T2,control_T3,control_T4,rad21_T1,rad21_T2,rad21_T3,rad21_T4
Hsp70Ba,88.39687504,-3.900395275,0.489240084,-7.972354273,1.56E-15,4.23E-13,287.6921222,71.68701438,192.3934361,108.9115824,16.63441054,7.276082888,8.968116887,13.61223497
CG9815,210.7118032,-2.004068042,0.257250909,-7.790324421,6.68E-15,1.76E-12,307.7636656,374.3655195,335.9706272,352.1474498,49.90323162,50.93258022,108.1156314,106.4957206
CG34370,344.9833611,2.504776826,0.325124621,7.704051498,1.32E-14,3.39E-12,133.8102894,109.9200887,99.17870586,68.97733553,887.1685621,715.481484,435.4518977,309.8785254
ush,303.4055899,1.792512434,0.232931717,7.695441624,1.41E-14,3.53E-12,145.5186897,116.2922678,146.6696229,127.6685772,621.0179935,562.6837433,391.109542,316.2842831
CG4341,408.3561025,2.379589724,0.314301006,7.571053479,3.70E-14,9.02E-12,177.2986334,100.3618201,128.3359201,119.8027407,992.5198289,608.7656016,327.8344951,811.9297798
CG34232,1990.645994,1.279882798,0.170280442,7.516322979,5.63E-14,1.34E-11,1221.018891,1030.699962,1361.33266,1024.979003,3060.731539,3211.177915,2869.299175,2145.928807
CG6059,30.36309133,-3.646771211,0.500187821,-7.290803684,3.08E-13,7.14E-11,36.79782958,57.3496115,53.01311672,78.05330073,0,9.701443851,3.985829727,4.00359852
rdgA,206.1553213,1.479819321,0.203571196,7.269296195,3.61E-13,8.18E-11,117.0840032,92.39659631,102.4920257,122.222998,299.4193897,356.5280615,225.1993796,333.9001166
CG6739,29.90428829,-5.332288568,0.735001601,-7.254798572,4.02E-13,8.89E-11,30.10731511,60.53570103,63.61574006,81.68368681,0,0,2.49114358,0.800719704
rut,627.3844101,-1.291349012,0.178080686,-7.251482697,4.12E-13,8.90E-11,734.283963,830.7728444,902.7692001,1097.586725,332.6882108,383.2070321,313.3858623,424.3814431
CG3285,36.85083966,-8.035988591,1.110336541,-7.237435045,4.57E-13,9.66E-11,83.63143087,95.58268583,90.78496238,24.80763822,0,0,0,0
