Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,patr1_T1,patr1_T2,patr1_T3,esgTS_T1,esgTS_T2,esgTS_T3
CG45782,219.8371866028989,6.780606641659283,0.4256008021148792,15.931846481410165,3.809397702506027e-57,1.2042951081577674e-54,502.0813011687127,392.5250306308121,412.4826538572283,1.7750659282302685,5.171257363969022,4.987810668440918
CG10433,194.23777432520052,3.130308445772301,0.1974203786975794,15.856055319230743,1.276648833962291e-56,3.9014388365887615e-54,388.91789909182665,373.4198300248877,283.6524551182584,38.16391745695078,41.370058911752174,39.902485347527346
toc,133.25749798688807,4.5860511272820865,0.291870434859295,15.71262649296059,1.2393638954911056e-55,3.6653187722136957e-53,256.2435656223741,277.02540878590503,233.92851876286647,9.762862605266477,8.618762273281703,13.965869871634572
CG31288,154.43799027465602,4.188769495787334,0.26672675368588483,15.704347006451055,1.4122431794035769e-55,4.046076708991248e-53,235.4319054703031,280.49908162334583,362.75871750183643,12.425461497611881,21.54690568320426,13.965869871634572
CG32091,524.7751728915491,-1.8749856119735195,0.12004574155749556,-15.618926482914853,5.410898196977552e-55,1.5032458990875817e-52,252.34137934386078,211.89404308388976,212.45681897303814,834.2809862682262,787.7548717779476,849.9229379023325
CG13405,131.16841676241359,4.36837750777405,0.28245917606290805,15.46551812783432,5.929424690156599e-54,1.598851928216344e-51,267.95012445791406,237.07817115533567,246.35950285171444,11.537928533496746,18.099400773891578,5.985372802129102
Mmp2,123.87515165967761,4.610410520692839,0.3035778851175456,15.186911651709032,4.317890815068908e-52,1.1310406569300499e-49,239.3340917488164,256.18337176126016,218.10726628615086,9.762862605266477,6.895009818625362,12.968307737946388
CG7470,202.17556489587386,-2.823408597348011,0.18654060922610097,-15.135624404045084,9.428157830214394e-52,2.401037527427932e-49,45.5255065826553,46.02616509609081,58.76465205637225,323.94953190202403,344.75049093126813,394.0370428068326
CG14457,191.91332700194505,2.8338321864848175,0.1875641536683539,15.108602209223445,1.4212261146150818e-51,3.5215678429165054e-49,292.66397088849834,337.8146834411193,379.71005944117456,48.814313026332385,52.57444986701839,39.902485347527346
Tsp29Fb,233.72754324413762,2.4382065786886087,0.1626509869915897,14.990419817216864,8.481541822908706e-51,2.0462835640112374e-48,407.1281017248888,414.23548586481724,362.75871750183643,84.31563159093776,68.08822195892546,65.83910082342013
InR,1645.6120921362879,1.4109141741446574,0.09595378621238239,14.70410110781627,6.067121318951265e-49,1.4262402115934664e-46,2245.057838904658,2321.281873619825,2609.3765691954527,884.8703652227889,947.2019738336592,865.8839320413434
Swim,616.9383408472967,2.0965623531063025,0.1426904775292907,14.6930782586801,7.139535518060252e-49,1.6363815407394097e-46,1155.04713843994,893.6023374316497,951.5353275281815,264.48482330631003,183.57963642090027,253.38078195679864
twz,117.04492269000788,4.484443915499821,0.30554831543319516,14.676709669113839,9.089530638307743e-49,2.0325077290733025e-46,235.4319054703031,233.60449831789484,203.4161032720578,5.325197784690806,15.513772091907065,8.978059203193654
S,1730.9679055481063,1.3056445487731771,0.08911278870128549,14.651595666586324,1.3158867698282114e-48,2.872392834710724e-46,2571.540757540272,2306.5187640607014,2517.8393227230263,994.9244527730656,1008.3951859739592,986.5889502176136
Wsck,276.50117916130483,-2.2817086012859664,0.1571744495155933,-14.5170452851473,9.449649437940588e-48,2.014753163884635e-45,111.86267331738159,79.89447526113875,93.79742539767109,459.7420754116396,424.90498007278796,488.80544550721
bnl,132.99854641059335,3.2533534982829955,0.2255371053708492,14.424914662860141,3.6071577571181175e-47,7.516005072104296e-45,260.14575190088743,251.84128071445912,210.19664004779307,25.738455959338896,24.132534365188768,25.936615475892776
kek1,119.2166905859039,3.908610146310057,0.27212947462503595,14.363053291804151,8.825179406444556e-47,1.7979832177396374e-44,188.60567012814337,262.2622992267816,219.2373557487734,13.312994461727016,12.928143409922555,18.95368054007549
AOX1,784.746070839425,1.755388672182416,0.12435747464107325,14.115666768313737,3.04125747120718e-45,6.0613583687016145e-43,1311.1345895804725,1095.0753620032172,1227.277156408082,420.69062499057367,311.13731806546946,343.1613739887352
Cyp6a9,125.98313460350339,-3.873337166853757,0.276328638558775,-14.017139834132319,1.2245102135666884e-44,2.3885765187190214e-42,15.608745114053244,14.763109559123466,18.081431401960693,243.1840321675468,193.9221511488383,270.3393382294978
CG13375,134.4148078383389,-5.529366342912129,0.3955514596201748,-13.978879886378527,2.0976341112549302e-44,4.0064811524969166e-42,6.5036437975221855,6.078927465521427,4.520357850490173,284.01054851684296,274.9385165176863,230.43685288197042
PCB,272.3388800304228,-2.052075615268839,0.1478244444896242,-13.881842224090848,8.16188947074069e-44,1.5271061768928705e-41,102.75757200085053,98.99967586706325,116.39921465012196,441.10388316522176,456.79440048393025,417.97853401534894
cnn,1249.4332924938585,1.3385552155814464,0.09769316845600905,13.701625576656305,9.927651163931661e-43,1.8203341174185094e-40,1834.0275509012563,1738.5732551391282,1801.362603420334,704.7011735074167,770.5173472313843,647.4178247636312
CG42663,268.4089004227839,2.061776515545566,0.15227219859630645,13.540071888050987,9.070011420931794e-42,1.630467935433386e-39,478.6681834976328,437.6827775175428,383.10032782904216,94.07849419620423,111.18203332533396,105.74158617094747
CG18135,345.67043057054104,-1.87424316118564,0.13860501608555972,-13.522188547842203,1.1568234249039899e-41,2.0395686845230347e-39,172.99692501409012,132.8679860321112,141.26118282781792,568.9086299978011,522.2969937608711,535.6908657905547
MED20,149.9227808737994,2.8295935205334732,0.21015111193310987,13.464566018732842,2.5279914970621253e-41,4.372948310389729e-39,300.46834344552497,240.55184399277647,247.489592314337,26.62598892345403,40.50818268442401,43.89273388228008
CG42450,100.14049649548485,3.9261291210591915,0.2920976952572219,13.441150631475654,3.469986930889136e-41,5.891266700442889e-39,172.99692501409012,209.28878845580914,181.94440348222946,15.975593354072418,14.651895864578895,5.985372802129102
