Geneid
lncRNA:CR43607
lncRNA:CR45881
lncRNA:CR44606
lncRNA:CR44919
asRNA:CR45800
lncRNA:CR44555
lncRNA:CR45375
lncRNA:CR44221
lncRNA:CR44280
lncRNA:CR44977
asRNA:CR45133
lncRNA:CR45216
asRNA:CR45140
lncRNA:CR45510
Su(Ste):CR42410
lncRNA:CR44924
lncRNA:CR45939
asRNA:CR45830
Su(Ste):CR42424
lncRNA:CR44542
lncRNA:CR44813
lncRNA:CR46111
lncRNA:CR44188
lncRNA:CR43818
lncRNA:CR45382
lncRNA:CR45393
Uhg4
lncRNA:CR44808
lncRNA:TS1
lncRNA:CR45792
lncRNA:CR43994
lncRNA:CR45821
asRNA:CR45206
lncRNA:CR44464
lncRNA:CR44903
lncRNA:CR32218
snmRNA:430r
lncRNA:CR44544
lncRNA:CR44186
lncRNA:CR44620
lncRNA:CR44463
lncRNA:CR44826
lncRNA:CR44218
asRNA:CR45271
lncRNA:CR45918
lncRNA:CR44585
lncRNA:CR45177
lncRNA:CR44614
asRNA:CR44155
lncRNA:CR43174
lncRNA:CR44772
lncRNA:CR44621
lncRNA:CR45901
lncRNA:CR43458
lncRNA:CR46000
lncRNA:CR44628
asRNA:CR44690
asRNA:CR45874
lncRNA:CR44952
lncRNA:CR44953
lncRNA:CR43157
asRNA:CR45053
lncRNA:CR43706
lncRNA:CR44326
lncRNA:CR45276
asRNA:CR42743
lncRNA:CR44430
asRNA:CR45896
lncRNA:CR46039
lncRNA:CR44573
lncRNA:CR45361
lncRNA:CR46043
lncRNA:CR44484
lncRNA:CR45444
snmRNA:430t
lncRNA:CR43625
lncRNA:CR44629
lncRNA:CR44749
lncRNA:CR43648
lncRNA:CR44486
lncRNA:CR43822
asRNA:CR44793
lncRNA:CR45346
asRNA:CR43430
lncRNA:CR43196
lncRNA:CR42794
lncRNA:CR44564
lncRNA:CR44589
lncRNA:CR46095
lncRNA:CR44503
lncRNA:CR45365
lncRNA:CR45588
lncRNA:CR44214
lncRNA:CR44387
lncRNA:CR44148
snmRNA:430s
asRNA:CR45955
lncRNA:CR45973
asRNA:CR44990
lncRNA:CR45333
lncRNA:CR45181
lncRNA:TS26
lncRNA:CR44048
lncRNA:CR46202
asRNA:CR43865
asRNA:CR45974
lncRNA:CR46103
snmRNA:430n
lncRNA:CR44785
lncRNA:CR44824
asRNA:CR45341
lncRNA:CR45938
lncRNA:CR46350
lncRNA:CR45408
lncRNA:CR45904
asRNA:CR44266
lncRNA:CR44641
lncRNA:CR43492
asRNA:TS15
lncRNA:CR44423
lncRNA:CR45664
lncRNA:CR43649
lncRNA:CR45506
lncRNA:CR45157
lncRNA:CR44829
lncRNA:CR45386
lncRNA:CR46131
lncRNA:CR32658
lncRNA:CR44856
lncRNA:CR44916
lncRNA:CR44348
asRNA:CR46251
asRNA:CR45832
lncRNA:CR44518
lncRNA:CR44520
lncRNA:CR45564
lncRNA:CR43241
lncRNA:CR42859
lncRNA:CR44770
lncRNA:CR45790
asRNA:CR44390
lncRNA:CR45602
asRNA:CR44062
lncRNA:CR44663
lncRNA:CR44734
lncRNA:CR45753
lncRNA:CR46085
Uhg2
lncRNA:CR46125
lncRNA:CR43715
lncRNA:CR43995
lncRNA:CR46218
lncRNA:CR43811
lncRNA:CR45055
lncRNA:CR44136
lncRNA:CR44928
lncRNA:CR45635
lncRNA:CR44696
lncRNA:CR46098
lncRNA:CR44204
asRNA:CR45202
lncRNA:CR44550
lncRNA:CR43302
lncRNA:CR45567
lncRNA:CR44451
lncRNA:CR43771
lncRNA:CR45563
lncRNA:CR43653
asRNA:CR31845
lncRNA:CR43193
asRNA:CR43809
lncRNA:CR40465
lncRNA:CR45966
lncRNA:CR45043
lncRNA:CR45252
lncRNA:CR45700
asRNA:CR43413
lncRNA:CR44531
lncRNA:CR46132
lncRNA:CR45735
lncRNA:CR43852
lncRNA:CR45734
lncRNA:CR46227
lncRNA:CR32657
asRNA:CR31912
lncRNA:CR45581
lncRNA:CR45155
lncRNA:CR44946
lncRNA:CR44828
lncRNA:CR44999
asRNA:CR45189
lncRNA:CR43661
lncRNA:CR46124
lncRNA:CR40469
asRNA:CR46091
lncRNA:CR44264
lncRNA:CR44638
lncRNA:CR46204
lncRNA:CR46197
asRNA:CR46263
lncRNA:CR32690
lncRNA:CR45579
