Symbol,baseMean,log2FoldChange,padj
Flo1,212.9377304986635,-1.2854801296477258,5.4175145337115715e-15
CG1146,380.4181547241873,-1.3433441091140632,6.115741103525944e-15
mlt,414.1461681598747,-1.0368941237484819,6.562236846691326e-15
Mcr,266.9795813175181,-1.2316230192179005,8.752971598859639e-15
CaMKI,554.5408405355855,-1.0808390953385403,9.11433040038071e-15
fru,1042.3659174059567,-1.1297740320719125,1.0133786056219458e-14
CG31431,65.82246759190278,-2.2105978307374445,1.5578785219593496e-14
D2hgdh,152.46721058109776,-1.3963220159262113,2.3265658604625133e-14
Acox57D-d,66.9367307881935,-2.2147786675328716,2.3983950672388623e-14
CG11453,56.10931022191036,-2.4911206938595485,2.476264355748359e-14
CalpA,121.92651168388657,-1.5440617504444993,2.6794049314937474e-14
CG32407,40.950009957328945,-3.3183979131797625,4.041257193005268e-14
Kul,53.47724480606033,-2.4968766319639464,6.397536905955232e-14
CG44085,1160.2306733373714,-2.414080268608991,7.732942318844923e-14
cue,337.1154154200824,-1.0263884718040481,8.900673455505166e-14
Gdh,163.41056014609123,-1.6523433399466179,1.4771438585463718e-13
CG33217,266.071005571522,-1.1922710709163662,1.8226363604405822e-13
Sik3,220.623026135582,-1.2563758875072653,1.9826699186401675e-13
bru2,598.2809826086389,-1.0204768486647533,2.305151591387889e-13
CG3277,327.84550863527147,-1.0381348994488242,2.404532310653317e-13
CG6770,318.52810882097305,-1.0037684001472171,2.7878567945644367e-13
Drat,353.98596321139036,-1.0143376318531934,3.8056345452828643e-13
CG32115,224.33134079428743,-1.1438128721103644,4.2487734397973294e-13
CG2767,162.34611488209907,-1.339051689528305,4.256915774414308e-13
Set2,409.6302614884781,-1.0069574470069667,4.4556342403985104e-13
CG7458,40.01204479206744,-2.8693257242627275,5.095860862295848e-13
Pgk,276.46219168602534,-1.0518882304799213,5.142872032738741e-13
CG32264,1029.6836954254982,-1.127340251342321,5.836782300803228e-13
CG9384,254.96888917548284,-1.1246109516239637,9.478986614856305e-13
snz,307.6812870985236,-1.0063083308453526,1.1629681748021827e-12
Cubn,133.22286893840865,-1.4018424740728097,1.306003126871104e-12
CG3679,160.4271348445865,-1.3532163224285585,2.0489630846848842e-12
CG32547,98.57644008462148,-1.8289387947975946,2.094903594419891e-12
betaGlu,110.21946105656245,-1.5207379156607232,2.1817400120458806e-12
CG15725,83.06990266645916,-1.8306594171310169,2.184885347427897e-12
Strica,105.551578420923,-1.5988868734145512,2.2937190498916857e-12
Glos,126.16794687815572,-1.4871181645432312,2.967183571195015e-12
CG43078,131.2363690761863,-1.5334030012486153,3.180397072339815e-12
